NumeroRegistro;Sección;Denominación;Domicilio social;Código;Fecha;
681;PRIMERA;CORO RONDA VALLE DE CAMARGO;CASA DE CULTURA, PARQUE DE CROS, CP: 39600, MALIAÑO, CANTABRIA;;23/07/1982;
686;PRIMERA;DE VECINOS DE SAN MARTIN DE LA MAR;C/ MARQUES DE SANTILLANA, Nº 2 Y 4, CP: 39004, SANTANDER, CANTABRIA;;12/08/1982;
691;PRIMERA;AGRUPACION ASTRONOMICA CANTABRA;CTRO.CAL DR.MADRAZO /. CASIMIRO SAINZ S/N., SANTANDER, CANTABRIA;;17/09/1982;
693;PRIMERA;CLUB AMIGOS DE PUERTOCHICO;C/ CASIMIRO SAINZ, Nº 17 - INTERIOR, CP: 39003, SANTANDER, CANTABRIA;921;03/11/1982;
701;PRIMERA;CULTURAL SAN LUIS;C/ MADRE SOLEDAD. GRUPO SAN LUIS, BLOQUE M, CP: 39005, SANTANDER, CANTABRIA;;24/11/1982;
704;PRIMERA;SOCIEDAD CULTURAL Y DEPORTIVA REBUJAS;C/ ESCUELAS NACIONALES, Nº 8, CP: 39408, SAN MATEO, CANTABRIA;;28/12/1982;
707;PRIMERA;DE VECINOS VIVIENDAS RENFE DE SANTANDER;C/ CAJO 11 - SIXTO OBRADOR, Nº 1 - BAJO, CP: 39011, SANTANDER, CANTABRIA;;17/12/1982;
713;PRIMERA;CULTURAL RECREATIVA PEÑA MARAVILLAS;C/ SALVADOR PEREZ, Nº 10, CP: 39800, RAMALES DE LA VICTORIA, CANTABRIA;;19/01/1983;
714;PRIMERA;CULTURAL EL TORTERO;Bº SALCEDO, S/N, CP: 39479, VIOÑO, CANTABRIA;;31/01/1983;
717;PRIMERA;CANTABRA PRO-VIDA;C/ LAS CRUCES, S/N, CP: 39009, SANTANDER, CANTABRIA;;21/02/1983;
718;PRIMERA;BELENISTA DE CANTABRIA; CALLE ARRABAL Nº 26, CP: 39003, SANTANDER, CANTABRIA;116;22/02/1983;
720;PRIMERA;DE VECINOS LA MARISMA;C/ POETA MIGUEL HERNANDEZ, Nº 4, CP: 39610, EL ASTILLERO, CANTABRIA;;09/03/1983;
729;PRIMERA;PEÑA BARCELONISTA GAMPER;C/ JUAN JOSE PEREZ DEL MOLINO, Nº 3 BAJO, CP: 39006, SANTANDER, CANTABRIA;;11/03/1993;
730;PRIMERA;DE VECINOS SAN PANCRACIO;C/ BAJADA DE LA CALZADA S/N , CP: 39006, SANTANDER, CANTABRIA;;02/07/2004;
731;PRIMERA;DE VECINOS AMIGOS DE CAZOÑA; CALLE CARDENAL HERRERA ORIA Nº S/N, CP: 39011, SANTANDER, CANTABRIA;354;11/05/1983;
735;PRIMERA;PARA LA LUCHA CONTRA LAS ENFERMEDADES DEL RIÑON ALCER-CANTABRIA;PLAZA RUBEN DARIO, S/N, CP: 39005, SANTANDER, CANTABRIA;423;18/12/2003;
736;PRIMERA;PEÑA ZALO;AVDA. DEL DEPORTE, Nº 17 - 4º IZQ. (LA ALBERICIA), CP: 39011, SANTANDER, CANTABRIA;;30/05/1983;
738;PRIMERA;SOCIEDAD CANTABRA AMIGOS DE LOS PAJAROS SILVESTRES;C/ LOS ALCES Nº 3, 3º B, CP: 39620, SARON, CANTABRIA;;27/05/1983;
741;PRIMERA;CULTURAL CORO DE VOCES GRAVES LOS TEMPLARIOS;C/ LEONARDO RUCABADO, Nº 9 BAJO, CP: 39700, CASTRO URDIALES, CANTABRIA;;01/07/1983;
745;PRIMERA;DE VECINOS RAMON PELAYO;C/ JUSTICIA, Nº 3 (CHALET DE LOS VIVEROS MUNICIPALES, CP: 39008, SANTANDER, CANTABRIA;;27/06/1983;
746;PRIMERA;PEÑA TAURINA CIRCULO TAURINO CULTURAL SANTOÑES FRANCISCO MARCO;AVDA. CARRERO BLANCO S/N - BAJOS DE LA PLAZA DE TOROS, CP: 39740, SANTOÑA, CANTABRIA;;27/06/1983;
749;PRIMERA;CORAL VOCES CANTABRAS;CASA DE CULTURA. AVDA. GENERALISIMO, Nº 12, CP: 39500, CABEZON DE LA SAL, CANTABRIA;;27/07/1983;
751;PRIMERA;CULTURAL JUAN DE HERRERA;ANTIGUAS ESCUELAS JUAN DE HERRERA, S/N, CP: 39600, MALIAÑO, CANTABRIA;;28/07/1983;
753;PRIMERA;CULTURAL RECREATIVA PEÑA LA NOGALERA;LA NOGALERA, BAJOS DE LA PLAZA DE TOROS, CP: 39840, AMPUERO, CANTABRIA;;27/07/1983;
754;PRIMERA;DE VECINOS COLONIA DEL MAR;C/ GENERAL DAVILA, Nº 89. ANTIGUO CENTRO METEREOLOGICO DE SANTANDER, CP: 39006, SANTANDER, CANTABRIA;;01/08/1983;
756;PRIMERA;UNATE, LA UNIVERSIDAD PERMANENTE;C/ VARGAS Nº47, ESCALERA IZQUIERDA, 2º PLANTA,PUERTA 4, CP: 39010, SANTANDER, CANTABRIA;135;07/09/1983;
759;PRIMERA;AGRUPACION CULTURAL Y DEPORTIVA EL CORRUCU;MERCADAL - PLAZA EL CORRUCU, Nº 1, CP: 39300, TORRELAVEGA, CANTABRIA;;17/10/1983;
761;PRIMERA;DE MADRES Y PADRES DE LA ESCUELA INFANTIL ANJANA;C/ ARCADIO GONZALEZ S/Nº, CP: 39300, TORRELAVEGA, CANTABRIA;;09/11/1983;
766;PRIMERA;DE FAMILIAS DE ALUMNOS DEL COLEGIO ATALAYA DE SANTANDER;    BAJADA DE RUAMAYOR, S/N, CP: 39006, SANTANDER, CANTABRIA;;16/11/1983;
769;PRIMERA;CULTURAL ALMIRANTE BONIFAZ;C/ SOL, Nº 17 - 1º IZQ., CP: 39003, SANTANDER, CANTABRIA;;17/11/1983;
773;PRIMERA;SOCIEDAD CULTURAL RECREATIVA LOS PEJINOS;C/ SANTA MARIA Nº 12, CP: 39770, LAREDO, CANTABRIA;129;30/11/1983;
777;PRIMERA;PEÑA MADRIDISTA FORAMONTANOS;LA BRAÑONA (BAJO), S/N, CP: 39500, CABEZON DE LA SAL, CANTABRIA;;30/12/1983;
779;PRIMERA;CENTRO CULTURAL SAN VICENTE;C/ ANGEL DIESTRO S/N, MURIEDAS, CANTABRIA;;02/01/1984;
788;PRIMERA;PEÑA TAURINA TOMAS CAMPUZANO;C/ MONTEVIDEO Nº 27 (BAR LA JARRA), CP: 39008, SANTANDER, CANTABRIA;;06/02/1984;
794;PRIMERA;ASDE-SCOUTS DE CANTABRIA; PASEO DE GENERAL DAVILA 308-310 BAJO TRASERA, CP: 39007, SANTANDER, CANTABRIA;;24/02/1984;
798;PRIMERA;CORO POLIFONICO VOZ DEL PUEBLO;Bº LOS MOZOS Nº 5 (ANTIGUAS ESCUELAS), CP: 39611, GUARNIZO, CANTABRIA;;23/02/1984;
803;PRIMERA;CULTURAL RECREATIVA SANTANA;PUERTA DEL SOL, CP: 39649, TEZANOS, CANTABRIA;;02/04/1984;
805;PRIMERA;COROS CAMPURRIANOS ECOS DEL EBRO;C/ CONCHA ESPINA, Nº 3, CP: 39200, REINOSA, CANTABRIA;;16/04/1984;
806;PRIMERA;CULTURAL, DEPORTIVA Y RECREATIVA DE VILLAPRESENTE;COLEGIO PUBLICO JOSE SAIZ LOPEZ, CP: 39539, VILLAPRESENTE, CANTABRIA;129;13/04/2016;
809;PRIMERA;CULTURAL ACORDEONES DE TORRELAVEGA;AVDA. DE BILBAO, Nº 45 B, CP: 39317, SIERRAPANDO, CANTABRIA;;02/05/1984;
811;PRIMERA;SOCIEDAD CANTABRA DE MEDICINA FAMILIAR Y COMUNITARIA ( SCMFYC );C/ ATAULFO ARGENTA Nº 33, CP: 39005, SANTANDER, CANTABRIA;;26/04/2017;
812;PRIMERA;COLECTIVO PARA LA AMPLIACION DE ESTUDIOS DE ARQUEOLOGIA PREHISTORICA (CAEAP);C/ ALCALDE ARCHE, S/N (BAJOS MUNICIPALES), CP: 39600, MURIEDAS, CANTABRIA;;09/05/1984;
814;PRIMERA;CULTURAL CRONOPIOS;C/ LUIS DE LA CONCHA, Nº 2 - 1º F, CP: 39470, RENEDO, CANTABRIA;;14/05/1984;
815;PRIMERA;DE VECINOS SARRUJAN DE CARMONA;AVDA. DEPORTE Nº 11 BLOQUE 1 BAJO (LOCAL), CP: 39011, SANTANDER, CANTABRIA;353;18/05/1984;
820;PRIMERA;PARA LA DEFENSA DE LOS RECURSOS NATURALES DE CANTABRIA (ARCA);C/ FERNANDEZ DE ISLA, Nº 11 - 1º DCHA., CP: 39009, SANTANDER, CANTABRIA;;13/06/1984;
823;PRIMERA;DE VECINOS DE CIUDAD JARDIN;C/ DALIA, 2 A  - 2º C, CP: 39010, SANTANDER, CANTABRIA;;03/07/1984;
825;PRIMERA;DE VECINOS CASERIOS;Bº EMILIO REVUELTA, Nº 78, CP: 39300, TORRELAVEGA, CANTABRIA;;16/07/1984;
827;PRIMERA;CULTURAL FUENTEVENTURA;CASA DEL CONCEJO DE LUEY, CP: 39594, LUEY, CANTABRIA;;07/09/1984;
834;PRIMERA;SOCIEDAD CULTURAL Y DEPORTIVA LOS REMEDIOS;PISTA POLIDEPORTIVA, S/N, CP: 39408, COO, CANTABRIA;;17/10/1984;
837;PRIMERA;RECREATIVA CULTURAL PEÑA SAN JUAN;HELIODORO A. FERNÁNDEZ Nº 29-4º -IZDA., CP: 39750, COLINDRES, CANTABRIA;;22/10/1984;
838;PRIMERA;CLUB DE LOS MUSEOS;C/ CAMILO ALONSO VEGA, Nº 30 - A, CP: 39007, SANTANDER, CANTABRIA;;02/03/2010;
839;PRIMERA;DE VECINOS GRUPO SAN RAMON;C/ CAJO, Nº 1 (ANTIGUO GRUPO SAN RAMON), CP: 39011, SANTANDER, CANTABRIA;;29/10/1984;
841;PRIMERA;INSTITUTO PARA INVESTIGACIONES PREHISTORICAS;AVDA. PONTEJOS, Nº 9 - BAJO, CP: 39005, SANTANDER, CANTABRIA;;23/04/1984;
842;PRIMERA;CENTROS DE PREPARACIÓN AL MATRIMONIO DE CANTABRIA (CPM);CEFERINO CALDERÓN Nº 3, 1ª IZDA., CP: 39300, TORRELAVEGA, CANTABRIA;;21/05/2007;
845;PRIMERA;PEÑA MADRIDISTA DE COMILLAS;C/ MARQUES DE COMILLAS Nº 2, CP: 39520, COMILLAS, CANTABRIA;;08/02/2007;
854;PRIMERA;COORDINADORA CONTRA EL PARO DE TORRELAVEGA Y COMARCA (COORCOPAR);PASEO DEL NIÑO, Nº 4, CP: 39300, TORRELAVEGA, CANTABRIA;;27/11/1984;
864;PRIMERA;DE VECINOS PASEO DEL NIÑO;PLAZA DE CIRIACO PARRAGA, S/N, CP: 39300, TORRELAVEGA, CANTABRIA;844;07/01/1985;
865;PRIMERA;MONTAÑESA DE AYUDA AL TOXICOMANO (A.M.A.T.);PARROQUIA DE LA ASUNCION. C/ GENERAL CASTAÑEDA Nº 6, CP: 39300, TORRELAVEGA, CANTABRIA;;10/01/1985;
869;PRIMERA;DEPORTIVA CULTURAL PEÑA LACHICORIA;C/ ISAAC PERAL, Nº 4, CP: 39008, SANTANDER, CANTABRIA;911;12/03/1985;
872;PRIMERA;DE MUJERES SANTA ANA;C/ CARLOS RUIZ GARCIA-OESTE, Nº 4, CP: 39011, SANTANDER, CANTABRIA;;25/03/1985;
876;PRIMERA;PARA LA EXPRESION Y LA CREATIVIDAD MARKAB; BARRIO ARGES Nº 2, CP: 39478, ORUÑA, CANTABRIA;121;01/04/1985;
879;PRIMERA;DEPORTIVO CULTURAL PEÑA CHIRI;CAFETERIA RAMA. COLONIA DEL MAR. C/ GENERAL DAVILA, Nº 260, CP: 39006, SANTANDER, CANTABRIA;;25/04/1985;
888;PRIMERA;CENTRO CULTURAL PORTUS BELNDIUM;TRAVESIA CEBALLOS QUINTANA, Nº 1, CP: 39340, SUANCES, CANTABRIA;;29/05/1985;
897;PRIMERA;AMIGOS DE LA MUSICA;C/ MARQUES DE CILLERUELO Nº 5, CP: 39200, REINOSA, CANTABRIA;125;17/07/1985;
898;PRIMERA;CLUB DE LA TERCERA EDAD DE SUANCES;PLAZA DEL GENERALISIMO, Nº 12, CP: 39340, SUANCES, CANTABRIA;925;29/07/1985;
899;PRIMERA;CANTABRA DE MEDICINA DEL DEPORTE  (ACAMEDE); CLGIO.OFIC.DE MEDICOS CANTABRIA C/. GRAL. MOLA Nº 33, CP: 39004, SANTANDER, CANTABRIA;;16/08/1985;
900;PRIMERA;DE VECINOS DE BOO DE GUARNIZO;CARRETERA VIEJA DE BOO, Nº 27 - BAJO, CP: 39613, BOO DE GUARNIZO, CANTABRIA;844;26/08/1985;
901;PRIMERA;CANTABRA DE ESPERANTO; CALLE FLORANES Nº 57 2º  C, CP: 39010, SANTANDER, CANTABRIA;129;28/08/1985;
902;PRIMERA;CULTURAL DE DESARROLLO COMUNITARIO;JOSE  ESCANDON 44  BAJO GRAL. DÁVILA, 244, BJ., CP: 39006, SANTANDER, CANTABRIA;;02/10/1985;
905;PRIMERA;CULTURAL Y DEPORTIVA PUENTE SAN MIGUEL;C/ LA TEJA, Nº 199 G - ATICO, CP: 39530, PUENTE SAN MIGUEL, CANTABRIA;128;03/10/1985;
910;PRIMERA;CASA CASTILLA LA MANCHA EN CANTABRIA;C/ LUIS VICENTE DE VELASCO, Nº 5 - A - BAJO, CP: 39011, SANTANDER, CANTABRIA;;23/10/1985;
914;PRIMERA;DE VECINOS DOBRA;Bº RIVERO, S/N (BAJOS DEL AYUNTAMIENTO), CP: 39409, RIVERO, CANTABRIA;844;11/11/1985;
915;PRIMERA;CULTURAL COLUMBA;Bº LA HERRERIA, Nº 11 - GRUPO ESCOLAR QUIJANO, CP: 39479, QUIJANO, CANTABRIA;125;12/11/1985;
917;PRIMERA;INSTITUTO DE PREHISTORIA Y ARQUEOLOGIA SAUTUOLA;C/ SANTA LUCIA, Nº 45 - 2º E, CP: 39003, SANTANDER, CANTABRIA;127;19/11/1985;
928;PRIMERA;MUJERES PROGRESISTAS DE ASTILLERO;C/ BERNARDO LAVIN, Nº 21 - BAJO, CP: 39610, ASTILLERO, CANTABRIA;;30/12/1985;
929;PRIMERA;PEÑA SIETE VILLAS;C/ ALFONSO XII, Nº 23, CP: 39740, SANTOÑA, CANTABRIA;;07/01/1986;
931;PRIMERA;CULTURAL Y DEPORTIVA LA ENCINA DE MATA;ANTIGUAS ESCUELAS DE MATA. Bº DE MATA, CP: 39409, MATA, CANTABRIA;922;03/02/1986;
938;PRIMERA;CORAL VOCES DEL MAR;PLAZA DE VIARES, Nº 12 BAJO, CP: 39340, SUANCES, CANTABRIA;125;27/02/1986;
939;PRIMERA;EXJUGADORES DEL REAL RACING CLUB DE SANTANDER;C/ FLORIDA, Nº 1 - 2º DCHA., CP: 39007, SANTANDER, CANTABRIA;912;13/03/1986;
944;PRIMERA;SOCIEDAD MUSICO-CULTURAL VOCES DE TORANZO;GINMASIO DEL COLEGIO PUBLICO PINTOR AGUSTIN RIANCHO AVENIDA JOAQUIN VILLEGAS Nº S/N, CP: 39680, ALCEDA, CANTABRIA;125;26/03/1986;
949;PRIMERA;DE VECINOS DEL BARRIO DE SANTA BARBARA;Bº SANTA BARBARA, Nº 41 A, CP: 39692, LIAÑO, CANTABRIA;844;16/04/1986;
950;PRIMERA;OYAMBRE;C/ JUAN DE LA COSA, Nº 15 - 2º A, CP: 39004, SANTANDE, CANTABRIA;121;06/05/1989;
956;PRIMERA;CORO DE CAMARA A CAPPELLA;C/ PADRE RABAGO Nº 14 - 3º A, CP: 39008, SANTANDER, CANTABRIA;125;05/05/1986;
957;PRIMERA;CENTRO ASTURIANO EN CANTABRIA;C/ PEÑAS REDONDAS, 17, CP: 39010, SANTANDER, CANTABRIA;;12/05/1986;
961;PRIMERA;CANTABRA DE ESCRITORES Y PERIODISTAS DE TURISMO;C/ MARQUES DE LA HERMIDA, Nº 42 - BAJO, CP: 39009, SANTANDER, CANTABRIA;815;20/05/1986;
966;PRIMERA;CORO RONDA TRASMIERA;AVDA. DE LAS ESCUELAS, S/N, CP: 39618, PONTEJOS, CANTABRIA;;10/06/1986;
968;PRIMERA;COMUNIDAD DE PROPIETARIOS DE PUESTOS DE ATRAQUE Y MODULOS DE SERVICIOS DEL PUERTO DEPORTIVO MARINA DEL CANTABRICO;POLIGONO DE RAOS. PUERTO DEPORTIVO, CP: 39600, MALIAÑO, CANTABRIA;;14/07/1986;
972;PRIMERA;MENTE ACTIVA DE CANTABRIA;PASEO DEL GENERAL DAVILA, Nº 308 - BAJO - TRASERA 4 (3º CALLE), CP: 39007, SANTANDER, CANTABRIA;;29/07/1986;
973;PRIMERA;DE PROFESORES DE FRANCES DE CANTABRIA;CENTRO DE INNOVACION EDUCATIVA Y FORMACION DE PROFESORES DE SANTANDER - AVDA. DEL DEPORTE S/N, CP: 39012, SANTANDER, CANTABRIA;;30/07/1986;
974;PRIMERA;COMPAÑÍA DE TEATRO COROCOTTA;ANTIGUO COLEGIO CASIMIRO SAINZ CALLE EL SALTO Nº 1, CP: 39200, REINOSA, CANTABRIA;121;02/10/1986;
975;PRIMERA;PEÑA MADRIDISTA DE TANOS;C/ FERNANDEZ VALLEJO, S/N. BAR ROMA, CP: 39316, TANOS, CANTABRIA;;03/10/1986;
977;PRIMERA;CULTURAL DE JUBILADOS Y PENSIONISTAS JUYPE;AVDA. DEL DEPORTE Nº 11 PORTAL 3, CP: 39011, SANTANDER, CANTABRIA;;13/10/1986;
978;PRIMERA;CANTABRA DE PSICOLOGIA DEL DEPORTE;C/ MARTIRES Nº 13-6º IZDA., CP: 39300, TORRELAVEGA, CANTABRIA;911;06/10/1986;
989;PRIMERA;SOCIEDAD FILATELICA Y NUMISMATICA LIEBANA;C/ MAGALLANES, Nº 43 - 5º A, CP: 39007, SANTANDER, CANTABRIA;924;13/11/1986;
993;PRIMERA;SOCIEDAD MICOLOGICA CANTABRA;PLAZA MARIA BLANCHARD Nº 7-2 BAJO EXTERIOR, CP: 39600, MALIAÑO (CAMARGO), CANTABRIA;;17/11/1986;
1000;PRIMERA;CULTURAL SAN VITORES;Bº. LA IGLESIA - BIBLIOTECA ALCALDE DEL RIO, CP: 39678, HIJAS, CANTABRIA;;23/12/1986;
1001;PRIMERA;CENTRO DE ESTUDIOS FAMILIARES DE CANTABRIA DARSENA;C/ MENENDEZ PELAYO, Nº 22 1º IZQ, CP: 39006, SANTANDER, CANTABRIA;129;16/01/1987;
1002;PRIMERA;CENTRO DE ASISTENCIA A VICTIMAS DE AGRESIONES SEXUALES Y PREVENCION DEL MALTRATO INFANTIL (C.A.V.A.S.);AVDA. REINA VICTORIA, Nº 33 - ENTRESUELO, CP: 39004, SANTANDER, CANTABRIA;;09/01/1986;
1009;PRIMERA;CORO RONDA LOS FORAMONTANOS;PLAZA LAS ESCUELAS, S/N, CP: 39410, MATAPORQUERA, CANTABRIA;129;20/01/1987;
1010;PRIMERA;LOS TILOS;C/ CARRETERA DE SANTANDER, Nº 11, CP: 39710, SOLARES, CANTABRIA;;20/01/1987;
1012;PRIMERA;PEÑA LA COLODRA SOCIO-CULTURAL;PLAZA COLONIA EL SALVADOR, S/N, CP: 39300, BARREDA, CANTABRIA;;16/03/1987;
1013;PRIMERA;CULTURAL TEATRO ESTABLE DE LA UNIVERSIDAD DE CANTABRIA;PABELLON DE GOBIERNO DE LA UNIVERSIDAD DE CANTABRIA. AVDA. DE LOS CASTROS, S/Nº, CP: 39005, SANTANDER, CANTABRIA;;26/01/1987;
1022;PRIMERA;DE PADRES DE ALUMNOS DEL INSTITUTO DE EDUCACION SECUNDARIA VILLAJUNCO;C/ JUNCO, S/N, CP: 39005, SANTANDER, CANTABRIA;;16/03/1987;
1023;PRIMERA;GRUPO DE DANZAS LA ROBLEDA DE PUENTE SAN MIGUEL;CASA MUNICIPAL DE CULTURA LOS NUEVE VALLES. PAQUE LA ROBLEDA, CP: 39530, PUENTE SAN MIGUEL, CANTABRIA;;16/08/2011;
1025;PRIMERA;GASTRONOMICA RECREATIVA PREMIER;PLAZA DE JUAN JOSE RUANO, Nº 2 - BAJO, CP: 39002, SANTANDER, CANTABRIA;;16/03/1987;
1026;PRIMERA;AGRUPACION DE DANZAS VIRGEN DE LAS NIEVES;URB. PRADO DE SANTA ANA Nº 1, CP: 39316, TANOS, CANTABRIA;;16/03/1987;
1027;PRIMERA;SOCIEDAD CULTURAL RECREATIVA PEÑA EL RUIDO; CALLE TINACO Nº 2, CP: 39770, LAREDO, CANTABRIA;129;16/06/2016;
1033;PRIMERA;DE VECINOS ISAAC PERAL;C/ ISAAC PERAL, Nº 4, CP: 39008, SANTANDER, CANTABRIA;;16/03/1987;
1034;PRIMERA;DE VECINOS DUQUE DE AHUMADA;C/ ISAAC PERAL, Nº 4, CP: 39008, SANTANDER, CANTABRIA;;17/03/1987;
1038;PRIMERA;GRUPO DE EMPRESA SIDENOR - REINOSA;PASEO ALEJANDRO CALONJE Nº 1, CP: 39200, REINOSA, CANTABRIA;;12/03/1987;
1044;PRIMERA;AGRUPACION DEPORTIVA CULTURAL MOLNEDO;C/ ISABEL II Nº 13 - 1º, CP: 39002, SANTANDER, CANTABRIA;;25/03/1987;
1046;PRIMERA;CANTABRA DE ESPINA BIFIDA E HIDROCEFALIA;AVDA. CARDENAL HERRERA ORIA, Nº 63 - INTERIOR, CP: 39011, SANTANDER, CANTABRIA;;21/04/1987;
1048;PRIMERA;GRUPO DE DANZAS NUESTRA SEÑORA DE COVADONGA DE TORRELAVEGA; CALLE EL CID Nº 5 2º J, CP: 39300, TORRELAVEGA, CANTABRIA;128;21/04/1987;
1049;PRIMERA;PRO-DEFICIENTES LA CAMPANA;C/ MANZANEDO , 14-5º  A, CP: 39740, SANTOÑA, CANTABRIA;;21/04/1987;
1055;PRIMERA;RECREATIVA Y CULTURAL VALLE DE SAMANO;C/ PARROQUIA DE SAN NICOLAS S/N, CP: 39709, SAMANO (CASTRO URDIALES), CANTABRIA;;25/05/1987;
1060;PRIMERA;DE VECINOS SAN CELEDONIO-TANTIN;C/ SAN CELEDONIO, Nº 26 BAJO CALLE SAN CELEDONIO Nº 26 BAJO, CP: 39001, SANTANDER, CANTABRIA;129;08/06/1987;
1062;PRIMERA;CORO PUERICANTORES;COLEGIO PUBLICO RAMON Y CAJAL, CP: 39611, GUARNIZO, CANTABRIA;;24/06/1987;
1064;PRIMERA;FEMINISTA DE TORRELAVEGA;CENTRO CIVICO SOCIAL PEDRO LAZARO BARUQUE, C/GENERAL CEBALLOS, Nº 12, CP: 39300, TORRELAVEGA, CANTABRIA;;02/07/1987;
1065;PRIMERA;DE ANTIGUAS ALUMNAS DE LAS ESCLAVAS DEL SAGRADO CORAZON DE JESUS DE SANTANDER-CANTABRIA (ASACI);C/ PEREZ GALDOS, Nº 41, CP: 39005, SANTANDER, CANTABRIA;;02/07/1987;
1066;PRIMERA;DE CULTURA Y OCIO ALTERNATIVO ESTELA OCTARINA;C/ SAN SEBASTIAN  Nº 27, 1º D, CP: 39001, SANTANDER, CANTABRIA;;30/01/2015;
1067;PRIMERA;DE VECINOS GRUPO BENIDORM;C/ BENIDORM, Nº 2, CP: 39005, SANTANDER, CANTABRIA;;21/07/1987;
1072;PRIMERA;DE VECINOS BELLAVISTA DE GUARNIZO;C/ BELLAVISTA, Nº 6 BAJO, CP: 39611, GUARNIZO, CANTABRIA;;16/09/1987;
1086;PRIMERA;SOCIEDAD MUSICO-CULTURAL CORAL FUENTE BUENA;EDIFICIO DEL COLEGIO NACIONAL CUEVAS DEL CASTILLO, CP: 39670, VARGAS, CANTABRIA;;19/01/1987;
1089;PRIMERA;SOCIEDAD DEPORTIVO CULTURAL DE PESCADORES DEL REAL VALLE DE CAMARGO;C/ GARCIA MORATO, Nº 375, CP: 39600, MALIAÑO, CANTABRIA;;23/10/1987;
1090;PRIMERA;CULTURAL PASION VIVIENTE;C/ LA RUA, Nº 13, CP: 39700, CASTRO URDIALES, CANTABRIA;;03/11/1987;
1091;PRIMERA;DE VECINOS DE PERINES;C/ PERINES Nº 32, CP: 39007, SANTANDER, CANTABRIA;;03/11/1987;
1099;PRIMERA;CANTABRA DE LARINGECTOMIZADOS Y MUTILADOS DE LA VOZ;C/ MAGALLANES, Nº 36 - ENTRESUELO, CP: 39008, SANTANDER, CANTABRIA;;23/11/1987;
1100;PRIMERA;CHARANGA EL CANCANEAO;C/ SAN JOSE, Nº 10, CP: 39610, EL ASTILLERO, CANTABRIA;;27/11/1987;
1101;PRIMERA;RADIO CLUB RADIOAFICIONADOS MONTAÑESES;CENTRO COMERCIAL ZOCO GRAN SANTANDER - LOCAL 202, CP: 39011, SANTANDER, CANTABRIA;;04/12/1987;
1107;PRIMERA;DE VECINOS BARRIO DEL REY;Bº DEL REY Nº 17, BAJO, CP: 39007, SANTANDER, CANTABRIA;;21/12/1987;
1111;PRIMERA;CULTURAL SANCIBRIAN;FERNANDO SAINZ, S/N, CP: 39110, SANCIBRIAN, CANTABRIA;;13/01/1988;
1116;PRIMERA;CORAL VALLE DE PIELAGOS - SALCEDO;CENTRO CULTURAL MUNICIPAL. Bº SALCEDO, Nº 13 - A, VIOÑO DE PIELAGOS., CANTABRIA;;25/01/1988;
1123;PRIMERA;CORO PEÑAS BLANCAS; CALLE EL CARMEN Nº 90, CP: 39600, REVILLA, CANTABRIA;125;29/01/1988;
1126;PRIMERA;A.P.A. JUNTA DE CESTO;C.P. JESUS DEL MONTE (Bº LA IGLESIA S/N), CP: 39738, HAZAS DE CESTO, CANTABRIA;;10/02/1988;
1130;PRIMERA;CENTRO CULTURAL AULA DE LA TERCERA EDAD DE MURIEDAS;JOSE BARROS S/N, CP: 39600, MURIEDAS, CANTABRIA;134;25/02/1988;
1131;PRIMERA;PEÑA TAURINA LA PIRULA; C/ PEÑA HERBOSA, Nº 6, CP: 39003, SANTANDER, CANTABRIA;;28/02/1988;
1133;PRIMERA;CLUB PISCIS DE CANTABRIA;PUB EL PATIO. C/ SAN JOSE, Nº 8, CP: 39300, TORRELAVEGA, CANTABRIA;129;10/03/1988;
1134;PRIMERA;FILATELICA LA SALLE-BUELNA;C/ LA SALLE S/N, CP: 39400, LOS CORRALES, CANTABRIA;129;07/03/1988;
1135;PRIMERA;PEÑA LOS UCOS;C/ RESPUELA, Nº 2 A - 5º T, CP: 39100, SANTA CRUZ DE BEZANA, CANTABRIA;134;07/03/1988;
1136;PRIMERA;SOCIO-CIVICO-CULTURAL KAOPRECES;FUNDACION VILLEGAS. Bº EL PINO S/N, CP: 39320, COBRECES, CANTABRIA;;14/03/1988;
1137;PRIMERA;AGRUPACION DEPORTIVA-CULTURAL PACO LIAÑO; AVENIDA DE CANTABRIA Nº 2, CP: 39600, MALIAÑO, CANTABRIA;924;15/03/1988;
1143;PRIMERA;CENTRO CULTURAL EL PORTILLO;C/ LAS ESCUELAS, S/N, CP: 39232, RUANALES, CANTABRIA;128;28/03/1988;
1145;PRIMERA;DE MUJERES GANADERAS DE CANTABRIA;AVDA. CALVO SOTELO, Nº 22, CP: 39710, SOLARES, CANTABRIA;;05/04/1988;
1148;PRIMERA;INTERPUEBLOS;C/ SAN FERNANDO 86 BAJO, CP: 39010, SANTANDER, CANTABRIA;;07/04/1988;
1150;PRIMERA;SOCIEDAD CANTABRA DE SALUD LABORAL, SCSL; CALLE SAN FERNANDO Nº 42 1º, CP: 39010, SANTANDER, CANTABRIA;832;11/04/1988;
1152;PRIMERA;DE VECINOS COLONIA VIRGEN DEL MAR; C/ RAFAEL ALSUA  BLOQUE 9 - BAJO S/N., CP: 39001, SANTANDER, CANTABRIA;;16/04/2003;
1153;PRIMERA;DE PENSIONISTAS DE LA TERCERA EDAD DE TORRELAVEGA;AVDA. ESPAÑA Nº 9, CP: 39300, TORRELAVEGA, CANTABRIA;121;09/05/1988;
